# Temperature Energy EnergyDensity Magnetization MagnetizationDensity
10.000000 -1999648.000000 -1.999648 -999912.000000 -0.999912
9.801987 -1999384.000000 -1.999384 -999846.000000 -0.999846
9.607895 -1999096.000000 -1.999096 -999774.000000 -0.999774
9.417645 -1998800.000000 -1.998800 -999700.000000 -0.999700
9.231163 -1998496.000000 -1.998496 -999624.000000 -0.999624
9.048374 -1998176.000000 -1.998176 -999544.000000 -0.999544
8.869205 -1997848.000000 -1.997848 -999462.000000 -0.999462
8.693583 -1997584.000000 -1.997584 -999396.000000 -0.999396
8.521438 -1997256.000000 -1.997256 -999314.000000 -0.999314
8.352702 -1996944.000000 -1.996944 -999236.000000 -0.999236
8.187307 -1996664.000000 -1.996664 -999166.000000 -0.999166
8.025187 -1996352.000000 -1.996352 -999088.000000 -0.999088
7.866279 -1995984.000000 -1.995984 -998996.000000 -0.998996
7.710516 -1995732.000000 -1.995732 -998932.000000 -0.998932
7.557837 -1995432.000000 -1.995432 -998856.000000 -0.998856
7.408182 -1995256.000000 -1.995256 -998812.000000 -0.998812
7.261490 -1994992.000000 -1.994992 -998746.000000 -0.998746
7.117703 -1994744.000000 -1.994744 -998684.000000 -0.998684
6.976763 -1994432.000000 -1.994432 -998606.000000 -0.998606
6.838614 -1994208.000000 -1.994208 -998550.000000 -0.998550
6.703200 -1993936.000000 -1.993936 -998482.000000 -0.998482
6.570468 -1993688.000000 -1.993688 -998420.000000 -0.998420
6.440364 -1993464.000000 -1.993464 -998364.000000 -0.998364
6.312837 -1993216.000000 -1.993216 -998302.000000 -0.998302
6.187834 -1992984.000000 -1.992984 -998244.000000 -0.998244
6.065307 -1992792.000000 -1.992792 -998196.000000 -0.998196
5.945206 -1992608.000000 -1.992608 -998150.000000 -0.998150
5.827482 -1992480.000000 -1.992480 -998118.000000 -0.998118
5.712090 -1992312.000000 -1.992312 -998076.000000 -0.998076
5.598984 -1992116.000000 -1.992116 -998026.000000 -0.998026
5.488116 -1991964.000000 -1.991964 -997988.000000 -0.997988
5.379444 -1991716.000000 -1.991716 -997926.000000 -0.997926
5.272924 -1991548.000000 -1.991548 -997884.000000 -0.997884
5.168513 -1991372.000000 -1.991372 -997840.000000 -0.997840
5.066170 -1991212.000000 -1.991212 -997800.000000 -0.997800
4.965853 -1991100.000000 -1.991100 -997772.000000 -0.997772
4.867522 -1990900.000000 -1.990900 -997722.000000 -0.997722
4.771139 -1990744.000000 -1.990744 -997682.000000 -0.997682
4.676664 -1990600.000000 -1.990600 -997646.000000 -0.997646
4.584060 -1990452.000000 -1.990452 -997610.000000 -0.997610
4.493289 -1990292.000000 -1.990292 -997570.000000 -0.997570
4.404316 -1990148.000000 -1.990148 -997534.000000 -0.997534
4.317105 -1990028.000000 -1.990028 -997504.000000 -0.997504
4.231621 -1989884.000000 -1.989884 -997468.000000 -0.997468
4.147829 -1989732.000000 -1.989732 -997430.000000 -0.997430
4.065697 -1989604.000000 -1.989604 -997398.000000 -0.997398
3.985190 -1989492.000000 -1.989492 -997370.000000 -0.997370
3.906278 -1989404.000000 -1.989404 -997348.000000 -0.997348
3.828929 -1989324.000000 -1.989324 -997328.000000 -0.997328
3.753111 -1989244.000000 -1.989244 -997308.000000 -0.997308
3.678794 -1989108.000000 -1.989108 -997274.000000 -0.997274
3.605950 -1988980.000000 -1.988980 -997242.000000 -0.997242
3.534547 -1988840.000000 -1.988840 -997206.000000 -0.997206
3.464558 -1988752.000000 -1.988752 -997184.000000 -0.997184
3.395955 -1988704.000000 -1.988704 -997172.000000 -0.997172
3.328711 -1988640.000000 -1.988640 -997156.000000 -0.997156
3.262798 -1988568.000000 -1.988568 -997138.000000 -0.997138
3.198190 -1988528.000000 -1.988528 -997128.000000 -0.997128
3.134862 -1988424.000000 -1.988424 -997102.000000 -0.997102
3.072788 -1988376.000000 -1.988376 -997090.000000 -0.997090
3.011942 -1988312.000000 -1.988312 -997074.000000 -0.997074
2.952302 -1988260.000000 -1.988260 -997060.000000 -0.997060
2.893842 -1988208.000000 -1.988208 -997044.000000 -0.997044
2.836540 -1988152.000000 -1.988152 -997030.000000 -0.997030
2.780373 -1988112.000000 -1.988112 -997020.000000 -0.997020
2.725318 -1988072.000000 -1.988072 -997010.000000 -0.997010
2.671353 -1988048.000000 -1.988048 -997004.000000 -0.997004
2.618456 -1988012.000000 -1.988012 -996994.000000 -0.996994
2.566607 -1987980.000000 -1.987980 -996986.000000 -0.996986
2.515785 -1987932.000000 -1.987932 -996974.000000 -0.996974
2.465970 -1987884.000000 -1.987884 -996962.000000 -0.996962
2.417140 -1987828.000000 -1.987828 -996948.000000 -0.996948
2.369277 -1987780.000000 -1.987780 -996936.000000 -0.996936
2.322363 -1987764.000000 -1.987764 -996932.000000 -0.996932
2.276377 -1987740.000000 -1.987740 -996926.000000 -0.996926
2.231302 -1987732.000000 -1.987732 -996924.000000 -0.996924
2.187119 -1987692.000000 -1.987692 -996914.000000 -0.996914
2.143811 -1987668.000000 -1.987668 -996908.000000 -0.996908
2.101361 -1987660.000000 -1.987660 -996906.000000 -0.996906
2.059751 -1987644.000000 -1.987644 -996902.000000 -0.996902
2.018965 -1987636.000000 -1.987636 -996900.000000 -0.996900
1.978987 -1987620.000000 -1.987620 -996896.000000 -0.996896
1.939800 -1987608.000000 -1.987608 -996892.000000 -0.996892
1.901390 -1987608.000000 -1.987608 -996892.000000 -0.996892
1.863740 -1987608.000000 -1.987608 -996892.000000 -0.996892
1.826835 -1987608.000000 -1.987608 -996892.000000 -0.996892
1.790661 -1987600.000000 -1.987600 -996890.000000 -0.996890
1.755204 -1987584.000000 -1.987584 -996886.000000 -0.996886
1.720449 -1987576.000000 -1.987576 -996884.000000 -0.996884
1.686382 -1987576.000000 -1.987576 -996884.000000 -0.996884
1.652989 -1987576.000000 -1.987576 -996884.000000 -0.996884
1.620257 -1987568.000000 -1.987568 -996882.000000 -0.996882
1.588174 -1987568.000000 -1.987568 -996882.000000 -0.996882
1.556726 -1987568.000000 -1.987568 -996882.000000 -0.996882
1.525901 -1987568.000000 -1.987568 -996882.000000 -0.996882
1.495686 -1987568.000000 -1.987568 -996882.000000 -0.996882
1.466070 -1987568.000000 -1.987568 -996882.000000 -0.996882
1.437039 -1987560.000000 -1.987560 -996880.000000 -0.996880
1.408584 -1987560.000000 -1.987560 -996880.000000 -0.996880
1.380692 -1987560.000000 -1.987560 -996880.000000 -0.996880
1.353353 -1987560.000000 -1.987560 -996880.000000 -0.996880
1.326555 -1987560.000000 -1.987560 -996880.000000 -0.996880
1.300287 -1987560.000000 -1.987560 -996880.000000 -0.996880
1.274540 -1987560.000000 -1.987560 -996880.000000 -0.996880
1.249302 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.224564 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.200316 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.176548 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.153251 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.130415 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.108032 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.086091 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.064585 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.043505 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.022842 -1987552.000000 -1.987552 -996878.000000 -0.996878
1.002589 -1987552.000000 -1.987552 -996878.000000 -0.996878
0.982736 -1987552.000000 -1.987552 -996878.000000 -0.996878
0.963277 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.944202 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.925506 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.907179 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.889216 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.871608 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.854349 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.837432 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.820850 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.804596 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.788664 -1987560.000000 -1.987560 -996880.000000 -0.996880
0.773047 -1987568.000000 -1.987568 -996882.000000 -0.996882
0.757740 -1987584.000000 -1.987584 -996886.000000 -0.996886
0.742736 -1987592.000000 -1.987592 -996888.000000 -0.996888
0.728029 -1987592.000000 -1.987592 -996888.000000 -0.996888
0.713613 -1987592.000000 -1.987592 -996888.000000 -0.996888
0.699482 -1987592.000000 -1.987592 -996888.000000 -0.996888
0.685632 -1987592.000000 -1.987592 -996888.000000 -0.996888
0.672055 -1987592.000000 -1.987592 -996888.000000 -0.996888
0.658748 -1987592.000000 -1.987592 -996888.000000 -0.996888
0.645703 -1987600.000000 -1.987600 -996890.000000 -0.996890
0.632918 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.620385 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.608101 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.596059 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.584257 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.572688 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.561348 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.550232 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.539337 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.528657 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.518189 -1987608.000000 -1.987608 -996892.000000 -0.996892
0.507928 -1987616.000000 -1.987616 -996894.000000 -0.996894
