J,h,magnetization_density
0.000,0.000,0.000336
0.000,0.061,0.044020
0.000,0.122,0.113274
0.000,0.184,0.178160
0.000,0.245,0.240384
0.000,0.306,0.297820
0.000,0.367,0.353650
0.000,0.429,0.406070
0.000,0.490,0.456432
0.000,0.551,0.502336
0.000,0.612,0.546172
0.000,0.673,0.588070
0.000,0.735,0.627126
0.000,0.796,0.663034
0.000,0.857,0.696380
0.000,0.918,0.726700
0.000,0.980,0.754772
0.000,1.041,0.779864
0.000,1.102,0.802508
0.000,1.163,0.823346
0.000,1.224,0.842162
0.000,1.286,0.858844
0.000,1.347,0.873896
0.000,1.408,0.887682
0.000,1.469,0.900074
0.000,1.531,0.911300
0.000,1.592,0.921164
0.000,1.653,0.929840
0.000,1.714,0.937692
0.000,1.776,0.944814
0.000,1.837,0.950934
0.000,1.898,0.956508
0.000,1.959,0.961418
0.000,2.020,0.965736
0.000,2.082,0.969812
0.000,2.143,0.973164
0.000,2.204,0.976216
0.000,2.265,0.979054
0.000,2.327,0.981484
0.000,2.388,0.983660
0.000,2.449,0.985622
0.000,2.510,0.987232
0.000,2.571,0.988768
0.000,2.633,0.990124
0.000,2.694,0.991264
0.000,2.755,0.992308
0.000,2.816,0.993228
0.000,2.878,0.994008
0.000,2.939,0.994708
0.000,3.000,0.995282
0.061,0.000,0.000490
0.061,0.061,0.078826
0.061,0.122,0.157972
0.061,0.184,0.234536
0.061,0.245,0.307082
0.061,0.306,0.375546
0.061,0.367,0.439340
0.061,0.429,0.497614
0.061,0.490,0.551286
0.061,0.551,0.600462
0.061,0.612,0.644808
0.061,0.673,0.684688
0.061,0.735,0.720566
0.061,0.796,0.752706
0.061,0.857,0.780960
0.061,0.918,0.805846
0.061,0.980,0.828134
0.061,1.041,0.847572
0.061,1.102,0.865126
0.061,1.163,0.880698
0.061,1.224,0.894440
0.061,1.286,0.906732
0.061,1.347,0.917560
0.061,1.408,0.927076
0.061,1.469,0.935476
0.061,1.531,0.943092
0.061,1.592,0.949648
0.061,1.653,0.955480
0.061,1.714,0.960638
0.061,1.776,0.965136
0.061,1.837,0.969270
0.061,1.898,0.972742
0.061,1.959,0.975922
0.061,2.020,0.978790
0.061,2.082,0.981264
0.061,2.143,0.983500
0.061,2.204,0.985486
0.061,2.265,0.987128
0.061,2.327,0.988700
0.061,2.388,0.990076
0.061,2.449,0.991220
0.061,2.510,0.992268
0.061,2.571,0.993192
0.061,2.633,0.993984
0.061,2.694,0.994694
0.061,2.755,0.995270
0.061,2.816,0.995774
0.061,2.878,0.996224
0.061,2.939,0.996656
0.061,3.000,0.997022
0.122,0.000,-0.000238
0.122,0.061,0.108498
0.122,0.122,0.212582
0.122,0.184,0.309546
0.122,0.245,0.396608
0.122,0.306,0.476412
0.122,0.367,0.545678
0.122,0.429,0.606706
0.122,0.490,0.659168
0.122,0.551,0.704702
0.122,0.612,0.743558
0.122,0.673,0.776790
0.122,0.735,0.805518
0.122,0.796,0.830072
0.122,0.857,0.851328
0.122,0.918,0.869932
0.122,0.980,0.886288
0.122,1.041,0.900374
0.122,1.102,0.912466
0.122,1.163,0.922960
0.122,1.224,0.932338
0.122,1.286,0.940736
0.122,1.347,0.947706
0.122,1.408,0.953942
0.122,1.469,0.959540
0.122,1.531,0.964296
0.122,1.592,0.968644
0.122,1.653,0.972254
0.122,1.714,0.975462
0.122,1.776,0.978432
0.122,1.837,0.981026
0.122,1.898,0.983284
0.122,1.959,0.985316
0.122,2.020,0.987000
0.122,2.082,0.988590
0.122,2.143,0.989998
0.122,2.204,0.991166
0.122,2.265,0.992226
0.122,2.327,0.993154
0.122,2.388,0.993948
0.122,2.449,0.994670
0.122,2.510,0.995254
0.122,2.571,0.995764
0.122,2.633,0.996214
0.122,2.694,0.996650
0.122,2.755,0.997016
0.122,2.816,0.997360
0.122,2.878,0.997686
0.122,2.939,0.997908
0.122,3.000,0.998120
0.184,0.000,-0.000028
0.184,0.061,0.154220
0.184,0.122,0.296488
0.184,0.184,0.416478
0.184,0.245,0.518812
0.184,0.306,0.602202
0.184,0.367,0.667570
0.184,0.429,0.721432
0.184,0.490,0.764172
0.184,0.551,0.799256
0.184,0.612,0.828396
0.184,0.673,0.852666
0.184,0.735,0.873156
0.184,0.796,0.890392
0.184,0.857,0.904938
0.184,0.918,0.917124
0.184,0.980,0.927866
0.184,1.041,0.937252
0.184,1.102,0.945082
0.184,1.163,0.951980
0.184,1.224,0.957888
0.184,1.286,0.962982
0.184,1.347,0.967700
0.184,1.408,0.971544
