J,h,magnetization_density
0.000,0.000,-0.000230
0.000,0.061,-0.000352
0.000,0.122,-0.000390
0.000,0.184,-0.000372
0.000,0.245,-0.000672
0.000,0.306,-0.000598
0.000,0.367,-0.000568
0.000,0.429,-0.000728
0.000,0.490,0.000660
0.000,0.551,0.000842
0.000,0.612,0.000942
0.000,0.673,0.001324
0.000,0.735,-0.000410
0.000,0.796,0.000130
0.000,0.857,0.000332
0.000,0.918,0.000700
0.000,0.980,0.000812
0.000,1.041,0.000798
0.000,1.102,0.000946
0.000,1.163,0.001792
0.000,1.224,0.002228
0.000,1.286,0.002436
0.000,1.347,0.002550
0.000,1.408,0.002762
0.000,1.469,0.003062
0.000,1.531,0.003394
0.000,1.592,0.002938
0.000,1.653,0.003282
0.000,1.714,0.003600
0.000,1.776,0.006456
0.000,1.837,0.006658
0.000,1.898,0.007006
0.000,1.959,0.007314
0.000,2.020,0.008638
0.000,2.082,0.008744
0.000,2.143,0.009338
0.000,2.204,0.009610
0.000,2.265,0.010250
0.000,2.327,0.010632
0.000,2.388,0.010844
0.000,2.449,0.010342
0.000,2.510,0.010638
0.000,2.571,0.011108
0.000,2.633,0.011490
0.000,2.694,0.011904
0.000,2.755,0.012302
0.000,2.816,0.012694
0.000,2.878,0.013440
0.000,2.939,0.014090
0.000,3.000,0.014762
0.061,0.000,0.000784
0.061,0.061,0.000108
0.061,0.122,0.000292
0.061,0.184,0.000244
0.061,0.245,0.001890
0.061,0.306,0.001944
0.061,0.367,0.001716
0.061,0.429,0.001752
0.061,0.490,0.001990
0.061,0.551,0.001900
0.061,0.612,0.001946
0.061,0.673,0.000422
0.061,0.735,0.000572
0.061,0.796,0.001168
0.061,0.857,0.001650
0.061,0.918,0.001900
0.061,0.980,0.002118
0.061,1.041,0.002262
0.061,1.102,0.004594
0.061,1.163,0.004710
0.061,1.224,0.004750
0.061,1.286,0.004980
0.061,1.347,0.004416
0.061,1.408,0.004784
0.061,1.469,0.004932
0.061,1.531,0.005208
0.061,1.592,0.005686
0.061,1.653,0.006186
0.061,1.714,0.006432
0.061,1.776,0.006546
0.061,1.837,0.006894
0.061,1.898,0.007004
0.061,1.959,0.004520
0.061,2.020,0.005030
0.061,2.082,0.005344
0.061,2.143,0.005752
0.061,2.204,0.006310
0.061,2.265,0.006912
0.061,2.327,0.007318
0.061,2.388,0.009768
0.061,2.449,0.010114
0.061,2.510,0.010342
0.061,2.571,0.010832
0.061,2.633,0.011290
0.061,2.694,0.011104
0.061,2.755,0.011680
0.061,2.816,0.012198
0.061,2.878,0.012634
0.061,2.939,0.013178
0.061,3.000,0.013764
0.122,0.000,-0.002216
0.122,0.061,-0.002220
0.122,0.122,-0.002078
0.122,0.184,0.001242
0.122,0.245,0.001104
0.122,0.306,0.000846
0.122,0.367,0.000870
0.122,0.429,0.001052
0.122,0.490,0.001034
0.122,0.551,0.001306
0.122,0.612,0.000294
0.122,0.673,0.000516
0.122,0.735,0.000722
0.122,0.796,0.000818
0.122,0.857,0.001100
0.122,0.918,0.001134
0.122,0.980,0.001386
0.122,1.041,0.001664
0.122,1.102,0.001954
0.122,1.163,0.002368
0.122,1.224,0.002654
0.122,1.286,0.002908
0.122,1.347,0.003030
0.122,1.408,0.003072
0.122,1.469,0.004446
0.122,1.531,0.004712
0.122,1.592,0.004908
0.122,1.653,0.005354
0.122,1.714,0.005668
0.122,1.776,0.005874
0.122,1.837,0.006346
0.122,1.898,0.006436
0.122,1.959,0.006682
0.122,2.020,0.007012
0.122,2.082,0.007268
0.122,2.143,0.007402
0.122,2.204,0.008708
0.122,2.265,0.008836
0.122,2.327,0.009408
0.122,2.388,0.009388
0.122,2.449,0.008772
0.122,2.510,0.009036
0.122,2.571,0.009448
0.122,2.633,0.009884
0.122,2.694,0.010356
0.122,2.755,0.011938
0.122,2.816,0.012652
0.122,2.878,0.013094
0.122,2.939,0.013522
0.122,3.000,0.014042
0.184,0.000,0.001466
0.184,0.061,0.001818
0.184,0.122,0.000164
0.184,0.184,-0.000078
0.184,0.245,0.000182
0.184,0.306,0.000180
0.184,0.367,0.000246
0.184,0.429,0.000412
0.184,0.490,0.000022
0.184,0.551,-0.000016
0.184,0.612,-0.000228
0.184,0.673,-0.000716
0.184,0.735,-0.000652
0.184,0.796,-0.000336
0.184,0.857,-0.000092
0.184,0.918,0.000226
0.184,0.980,0.001540
0.184,1.041,0.001900
0.184,1.102,0.002206
0.184,1.163,0.002212
0.184,1.224,0.002526
0.184,1.286,0.002694
0.184,1.347,0.002796
0.184,1.408,0.003270
0.184,1.469,0.003384
0.184,1.531,0.003760
0.184,1.592,0.004190
0.184,1.653,0.004678
0.184,1.714,0.004838
0.184,1.776,0.004170
0.184,1.837,0.004094
0.184,1.898,0.004338
0.184,1.959,0.004490
0.184,2.020,0.006570
0.184,2.082,0.006928
0.184,2.143,0.007222
0.184,2.204,0.007556
0.184,2.265,0.007906
0.184,2.327,0.008582
0.184,2.388,0.009044
0.184,2.449,0.009174
0.184,2.510,0.009838
0.184,2.571,0.010174
0.184,2.633,0.010404
0.184,2.694,0.011640
0.184,2.755,0.011850
0.184,2.816,0.012254
0.184,2.878,0.012650
0.184,2.939,0.013114
0.184,3.000,0.013398
0.245,0.000,0.001078
0.245,0.061,-0.000402
0.245,0.122,-0.000396
0.245,0.184,-0.000452
0.245,0.245,-0.000796
0.245,0.306,-0.000882
0.245,0.367,-0.000914
0.245,0.429,-0.001120
0.245,0.490,-0.000732
0.245,0.551,-0.000808
0.245,0.612,-0.000800
0.245,0.673,-0.000730
0.245,0.735,-0.000690
0.245,0.796,-0.000444
0.245,0.857,-0.000150
0.245,0.918,0.000986
0.245,0.980,0.001012
0.245,1.041,0.001158
0.245,1.102,0.001382
0.245,1.163,0.001690
0.245,1.224,0.002054
0.245,1.286,0.002630
0.245,1.347,0.004366
0.245,1.408,0.004540
0.245,1.469,0.004580
0.245,1.531,0.005074
0.245,1.592,0.002390
0.245,1.653,0.002630
0.245,1.714,0.003010
0.245,1.776,0.003166
0.245,1.837,0.006124
0.245,1.898,0.006356
0.245,1.959,0.006616
0.245,2.020,0.006936
0.245,2.082,0.007396
0.245,2.143,0.007394
0.245,2.204,0.006674
0.245,2.265,0.007202
0.245,2.327,0.007552
0.245,2.388,0.008010
0.245,2.449,0.008412
0.245,2.510,0.008724
0.245,2.571,0.009276
0.245,2.633,0.011362
0.245,2.694,0.011628
0.245,2.755,0.012090
0.245,2.816,0.012436
0.245,2.878,0.012176
0.245,2.939,0.012786
0.245,3.000,0.013272
0.306,0.000,0.001414
0.306,0.061,0.000154
0.306,0.122,0.000192
0.306,0.184,0.000226
0.306,0.245,0.000302
0.306,0.306,0.000338
0.306,0.367,0.000432
0.306,0.429,0.000250
0.306,0.490,0.000418
0.306,0.551,0.000256
0.306,0.612,0.000402
0.306,0.673,0.000822
0.306,0.735,0.001292
0.306,0.796,0.001378
0.306,0.857,0.000732
0.306,0.918,0.001160
0.306,0.980,0.001522
0.306,1.041,0.001802
0.306,1.102,0.001916
0.306,1.163,0.002698
0.306,1.224,0.002974
0.306,1.286,0.003460
0.306,1.347,0.003554
0.306,1.408,0.003052
0.306,1.469,0.003090
0.306,1.531,0.003592
0.306,1.592,0.004044
0.306,1.653,0.004630
0.306,1.714,0.004812
0.306,1.776,0.004660
0.306,1.837,0.004938
0.306,1.898,0.005456
0.306,1.959,0.005606
0.306,2.020,0.005804
0.306,2.082,0.006290
0.306,2.143,0.006546
0.306,2.204,0.006964
0.306,2.265,0.007422
0.306,2.327,0.007756
0.306,2.388,0.008184
0.306,2.449,0.008994
0.306,2.510,0.009252
0.306,2.571,0.010056
0.306,2.633,0.010510
0.306,2.694,0.011258
0.306,2.755,0.011698
0.306,2.816,0.012074
0.306,2.878,0.012382
0.306,2.939,0.012828
0.306,3.000,0.012884
0.367,0.000,0.000840
0.367,0.061,0.000854
0.367,0.122,0.000658
0.367,0.184,0.000674
0.367,0.245,0.000754
0.367,0.306,0.000830
0.367,0.367,-0.002284
0.367,0.429,-0.002016
0.367,0.490,-0.002104
0.367,0.551,-0.001814
0.367,0.612,-0.001530
0.367,0.673,-0.001248
0.367,0.735,0.002262
0.367,0.796,0.002646
0.367,0.857,0.002726
0.367,0.918,0.004404
0.367,0.980,0.004500
0.367,1.041,0.004526
0.367,1.102,0.004734
0.367,1.163,0.004880
0.367,1.224,0.002578
0.367,1.286,0.002618
0.367,1.347,0.002734
0.367,1.408,0.002784
0.367,1.469,0.002800
0.367,1.531,0.003130
0.367,1.592,0.003402
0.367,1.653,0.005710
0.367,1.714,0.005692
0.367,1.776,0.006132
0.367,1.837,0.006378
0.367,1.898,0.006942
0.367,1.959,0.007302
0.367,2.020,0.007536
0.367,2.082,0.007628
0.367,2.143,0.007786
0.367,2.204,0.008326
0.367,2.265,0.009568
0.367,2.327,0.009792
0.367,2.388,0.010340
0.367,2.449,0.010640
0.367,2.510,0.009806
0.367,2.571,0.010348
0.367,2.633,0.010724
0.367,2.694,0.011106
0.367,2.755,0.011640
0.367,2.816,0.012022
0.367,2.878,0.012464
0.367,2.939,0.013324
0.367,3.000,0.013500
0.429,0.000,0.000484
0.429,0.061,0.000554
0.429,0.122,0.000814
0.429,0.184,0.000964
0.429,0.245,-0.000586
0.429,0.306,-0.000792
0.429,0.367,-0.000398
0.429,0.429,-0.000198
0.429,0.490,0.002024
0.429,0.551,0.002224
0.429,0.612,0.002156
0.429,0.673,0.002704
0.429,0.735,0.001100
0.429,0.796,0.001178
0.429,0.857,0.001214
0.429,0.918,0.001242
0.429,0.980,0.001582
0.429,1.041,0.001756
