# Temperature Energy EnergyDensity Magnetization MagnetizationDensity
10.000000 -203636.000000 -0.203636 6534.000000 0.006534
9.801987 -210176.000000 -0.210176 5256.000000 0.005256
9.607895 -210568.000000 -0.210568 -624.000000 -0.000624
9.417645 -218100.000000 -0.218100 -994.000000 -0.000994
9.231163 -221360.000000 -0.221360 1808.000000 0.001808
9.048374 -226608.000000 -0.226608 -1134.000000 -0.001134
8.869205 -228492.000000 -0.228492 -1322.000000 -0.001322
8.693583 -236280.000000 -0.236280 -1112.000000 -0.001112
8.521438 -239716.000000 -0.239716 592.000000 0.000592
8.352702 -246788.000000 -0.246788 -606.000000 -0.000606
8.187307 -249984.000000 -0.249984 742.000000 0.000742
8.025187 -255684.000000 -0.255684 -1232.000000 -0.001232
7.866279 -262892.000000 -0.262892 586.000000 0.000586
7.710516 -265804.000000 -0.265804 -1244.000000 -0.001244
7.557837 -271396.000000 -0.271396 946.000000 0.000946
