backend,L,init_type,J,h,T,n_steps,E,e_density,m,m_density,init_time,mh_time,mh_time_per_step
gpu_efficient,16,all_up,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,0.00012700000661425292,0.02159399911761284,2.1628605395562772e-07
gpu_efficient,16,all_up,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,0.00013600000238511711,0.020831000059843063,2.0864382577201468e-07
gpu_efficient,16,all_up,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,0.00011100000119768083,0.020430000498890877,2.0462741190385714e-07
gpu_efficient,16,all_up,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,0.00011200000153621659,0.02029700018465519,2.0329527217199939e-07
gpu_efficient,16,all_up,1.0,0.5,0.5,100000,-384.0,-1.5,-256.0,-1.0,0.00010900000052060932,0.02012700028717518,2.015925559817333e-07
gpu_efficient,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,0.0001140000022132881,0.020486999303102493,2.0519830457033095e-07
gpu_efficient,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,0.00011300000187475234,0.02122499980032444,2.1259013749386213e-07
gpu_efficient,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,0.00011500000255182385,0.020860999822616577,2.0894431429496763e-07
gpu_efficient,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,0.00010699999984353781,0.02008100040256977,2.0113181165015703e-07
gpu_efficient,16,all_up,1.0,0.5,2.0,100000,-622.0,-2.4296875,252.0,0.984375,9.600000339560211e-05,0.020173000171780586,2.0205328610245488e-07
gpu_efficient,16,all_up,1.0,0.5,10.0,100000,-12.0,-0.046875,0.0,0.0,0.00011300000187475234,0.020649999380111694,2.0683091861428693e-07
gpu_efficient,16,all_up,1.0,0.5,10.0,100000,-12.0,-0.046875,0.0,0.0,0.00011100000119768083,0.020052000880241394,2.0084135599063302e-07
gpu_efficient,16,all_up,1.0,0.5,10.0,100000,-12.0,-0.046875,0.0,0.0,0.00011100000119768083,0.02015100046992302,2.0183293258924095e-07
gpu_efficient,16,all_up,1.0,0.5,10.0,100000,-12.0,-0.046875,0.0,0.0,0.00012399999832268804,0.020552000030875206,2.058493606682532e-07
gpu_efficient,16,all_up,1.0,0.5,10.0,100000,-12.0,-0.046875,0.0,0.0,0.00011000000085914508,0.020532000809907913,2.0564904446018772e-07
gpu_efficient,16,all_up,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,0.00011899999663000926,0.02034199982881546,2.0374599785100145e-07
gpu_efficient,16,all_up,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,0.00013099999341648072,0.02137400023639202,2.1408253303434321e-07
gpu_efficient,16,all_up,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,0.00011300000187475234,0.02108599990606308,2.111979142682685e-07
gpu_efficient,16,all_up,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,0.00010699999984353781,0.02081100083887577,2.084435237748039e-07
gpu_efficient,16,all_up,1.0,1.0,0.5,100000,-256.0,-1.0,-256.0,-1.0,0.00011700000322889537,0.021226000040769577,2.1260015614643635e-07
gpu_efficient,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,0.00011500000255182385,0.021013999357819557,2.1047675602403615e-07
gpu_efficient,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,0.0001250000059371814,0.0212629996240139,2.1297074681569939e-07
gpu_efficient,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,0.0001140000022132881,0.021136000752449036,2.1169871899928694e-07
gpu_efficient,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,9.999999747378752e-05,0.02079400047659874,2.0827323510275164e-07
gpu_efficient,16,all_up,1.0,1.0,2.0,100000,-758.0,-2.9609375,254.0,0.9921875,0.00011100000119768083,0.02013999968767166,2.01722755832634e-07
gpu_efficient,16,all_up,1.0,1.0,10.0,100000,-62.0,-0.2421875,38.0,0.1484375,0.00011999999696854502,0.020942000672221184,2.097556119906585e-07
gpu_efficient,16,all_up,1.0,1.0,10.0,100000,-62.0,-0.2421875,38.0,0.1484375,0.00011600000289035961,0.021237999200820923,2.1272035155561753e-07
gpu_efficient,16,all_up,1.0,1.0,10.0,100000,-62.0,-0.2421875,38.0,0.1484375,0.00010900000052060932,0.02115499973297119,2.118890165547782e-07
gpu_efficient,16,all_up,1.0,1.0,10.0,100000,-62.0,-0.2421875,38.0,0.1484375,0.0001049999991664663,0.02089099958539009,2.0924478860706586e-07
gpu_efficient,16,all_up,1.0,1.0,10.0,100000,-62.0,-0.2421875,38.0,0.1484375,0.00011200000153621659,0.021276000887155533,2.131009750883095e-07
gpu_efficient,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,0.0001140000022132881,0.021111000329256058,2.1144832373920508e-07
gpu_efficient,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,0.00011500000255182385,0.02084599994122982,2.087940629280638e-07
gpu_efficient,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,0.00011000000085914508,0.02098499983549118,2.1018630036451214e-07
gpu_efficient,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,0.00011700000322889537,0.021077999845147133,2.111177934693842e-07
gpu_efficient,16,all_up,1.0,2.0,0.5,100000,-1024.0,-4.0,256.0,1.0,0.00012700000661425292,0.020898999646306038,2.0932490940595017e-07
gpu_efficient,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,0.0001250000059371814,0.020803000777959824,2.0836338876506488e-07
gpu_efficient,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,0.00011200000153621659,0.02063100039958954,2.0664063526965037e-07
gpu_efficient,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,0.00011899999663000926,0.020810000598430634,2.084335051222297e-07
gpu_efficient,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,0.00012399999832268804,0.020681999623775482,2.071514444423883e-07
gpu_efficient,16,all_up,1.0,2.0,2.0,100000,-1024.0,-4.0,256.0,1.0,0.00013099999341648072,0.0211350005120039,2.1168870034671272e-07
gpu_efficient,16,all_up,1.0,2.0,10.0,100000,-288.0,-1.125,96.0,0.375,0.00013099999341648072,0.02129399962723255,2.1328123978037183e-07
gpu_efficient,16,all_up,1.0,2.0,10.0,100000,-288.0,-1.125,96.0,0.375,0.00011899999663000926,0.020918000489473343,2.0951523538315087e-07
gpu_efficient,16,all_up,1.0,2.0,10.0,100000,-288.0,-1.125,96.0,0.375,6.199999916134402e-05,0.020924000069499016,2.0957531887688674e-07
gpu_efficient,16,all_up,1.0,2.0,10.0,100000,-288.0,-1.125,96.0,0.375,7.200000254670158e-05,0.021421000361442566,2.14553281807639e-07
gpu_efficient,16,all_up,1.0,2.0,10.0,100000,-288.0,-1.125,96.0,0.375,6.0999998822808266e-05,0.02086699940264225,2.090043977887035e-07
gpu_efficient,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,9.500000305706635e-05,0.02111000008881092,2.1143830508663086e-07
gpu_efficient,16,random,1.0,0.5,0.5,100000,-640.0,-2.5,256.0,1.0,6.299999949987978e-05,0.02090499922633171,2.0938500711054076e-07
